model,sequence_length,time_taken
model_lstm_10,10,2159.5271294116974
model_lstm_20,20,4206.219566822052
model_lstm_30,30,8104.367627382278
model_lstm_40,40,4786.798019886017
model_lstm_50,50,7457.881744623184
