Model,sequence_length,RMSE,MSE,R2,MAE
lstmcnn_30,30,0.008262446225721117,6.826801763293312e-05,0.9225202567487644,0.0030812637055096194
lstmcnn_40,40,0.01088778508434378,0.0001185438640428589,0.8654728955012833,0.002578163883540315
lstmcnn_50,50,0.00839202989996619,7.042616584192654e-05,0.920085879853477,0.0039033273905776217
lstmcnn_60,60,0.010808129933924004,0.00011681567266858408,0.8674598523454758,0.002206776788496162
lstmcnn_70,70,0.008023713020841641,6.43799706408237e-05,0.9269611808921354,0.002601189064075589
